firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Ladd,Kochman,Ladd Kochman,3.5,2.9,75.0,67,1349842,U2Nob29sLTQ4MQ==,Kennesaw State University
Sueyoung,Park-Primiano,Sueyoung Park-Primiano,2.1,4.4,33.3333,7,2687690,U2Nob29sLTQ4MQ==,Kennesaw State University
Richard,Teters,Richard Teters,2.7,3.0,63.1579,30,1219430,U2Nob29sLTQ4MQ==,Kennesaw State University
David,Jones,David Jones,3.0,4.3,52.381,85,279654,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Perry,Michael Perry,2.1,3.3,39.2857,87,1201622,U2Nob29sLTQ4MQ==,Kennesaw State University
Tad,Watanabe,Tad Watanabe,4.7,2.3,100.0,3,2690994,U2Nob29sLTQ4MQ==,Kennesaw State University
Tu,Nguyen,Tu Nguyen,3.8,3.5,100.0,12,2721496,U2Nob29sLTQ4MQ==,Kennesaw State University
Joel,McNeal,Joel McNeal,3.9,2.9,64.2857,72,1615925,U2Nob29sLTQ4MQ==,Kennesaw State University
Tuba,Angay-Crowder,Tuba Angay-Crowder,1.6,2.1,14.2857,10,2197908,U2Nob29sLTQ4MQ==,Kennesaw State University
Oumar Cherif,Diop,Oumar Cherif Diop,3.6,2.9,74.2857,67,1018226,U2Nob29sLTQ4MQ==,Kennesaw State University
Nina,Morgan,Nina Morgan,3.4,3.6,64.2857,128,38101,U2Nob29sLTQ4MQ==,Kennesaw State University
Bobby,Gutierrez,Bobby Gutierrez,4.0,2.7,84.0,22,2423076,U2Nob29sLTQ4MQ==,Kennesaw State University
Tamara,Powell,Tamara Powell,2.9,3.5,16.6667,14,1463934,U2Nob29sLTQ4MQ==,Kennesaw State University
Nicole,Martin,Nicole Martin,4.0,2.8,94.7368,72,1349594,U2Nob29sLTQ4MQ==,Kennesaw State University
Dan,Page,Dan Page,3.9,2.1,73.8095,92,937580,U2Nob29sLTQ4MQ==,Kennesaw State University
Stephen,Parlatore,Stephen Parlatore,1.0,3.0,-1.0,1,2863042,U2Nob29sLTQ4MQ==,Kennesaw State University
Nazmus,Sakib,Nazmus Sakib,0.0,0.0,-1.0,0,2849262,U2Nob29sLTQ4MQ==,Kennesaw State University
Lampra,Jones,Lampra Jones,0.0,0.0,-1.0,0,2849505,U2Nob29sLTQ4MQ==,Kennesaw State University
Feray,Aktas,Feray Aktas,4.0,2.0,100.0,1,2850372,U2Nob29sLTQ4MQ==,Kennesaw State University
Christina,Gliser,Christina Gliser,5.0,3.0,100.0,1,2850560,U2Nob29sLTQ4MQ==,Kennesaw State University
Kristen,de Graauw,Kristen de Graauw,0.0,0.0,100.0,0,2851672,U2Nob29sLTQ4MQ==,Kennesaw State University
John,Greene,John Greene,0.0,0.0,100.0,0,2852960,U2Nob29sLTQ4MQ==,Kennesaw State University
Amber,Jefferson,Amber Jefferson,5.0,1.0,100.0,1,2853005,U2Nob29sLTQ4MQ==,Kennesaw State University
Krysta,Fry,Krysta Fry,0.0,0.0,-1.0,0,2853228,U2Nob29sLTQ4MQ==,Kennesaw State University
Thomas,Watkins,Thomas Watkins,5.0,1.0,100.0,1,2854251,U2Nob29sLTQ4MQ==,Kennesaw State University
Brandon,Carpenter ,Brandon Carpenter ,0.0,0.0,100.0,0,2854716,U2Nob29sLTQ4MQ==,Kennesaw State University
Yelena,White,Yelena White,0.0,0.0,-1.0,0,2854913,U2Nob29sLTQ4MQ==,Kennesaw State University
Nicolas,Copper,Nicolas Copper,0.0,0.0,-1.0,0,2855311,U2Nob29sLTQ4MQ==,Kennesaw State University
Josh,Lummus,Josh Lummus,5.0,2.0,100.0,1,2856310,U2Nob29sLTQ4MQ==,Kennesaw State University
